GENESIS-Tabelle: 12411-0013
Bevölkerung: Bundesländer, Stichtag, Geschlecht, Altersjahre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Baden-Württemberg;Baden-Württemberg;Baden-Württemberg;Bayern;Bayern;Bayern;Berlin;Berlin;Berlin;Brandenburg;Brandenburg;Brandenburg;Bremen;Bremen;Bremen;Hamburg;Hamburg;Hamburg;Hessen;Hessen;Hessen;Mecklenburg-Vorpommern;Mecklenburg-Vorpommern;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen;Niedersachsen;Nordrhein-Westfalen;Nordrhein-Westfalen;Nordrhein-Westfalen;Rheinland-Pfalz;Rheinland-Pfalz;Rheinland-Pfalz;Saarland;Saarland;Saarland;Sachsen;Sachsen;Sachsen;Sachsen-Anhalt;Sachsen-Anhalt;Sachsen-Anhalt;Schleswig-Holstein;Schleswig-Holstein;Schleswig-Holstein;Thüringen;Thüringen;Thüringen
31.12.2019;78-Jährige;45870;57487;103357;55151;68389;123540;15779;20194;35973;14045;17760;31805;2871;3688;6559;7087;8902;15989;26323;31873;58196;8434;11042;19476;36844;45002;81846;73529;94290;167819;17433;21721;39154;4516;5897;10413;22705;30191;52896;12673;16702;29375;15080;18017;33097;11671;15237;26908
31.12.2019;79-Jährige;46397;59254;105651;56341;71870;128211;14474;19053;33527;13404;17690;31094;2984;3717;6701;6911;9163;16074;26857;33857;60714;8025;11058;19083;36733;46266;82999;75898;100215;176113;17951;23325;41276;4467;6064;10531;22654;30288;52942;12399;16779;29178;14658;17907;32565;11886;16284;28170
31.12.2019;80-Jährige;44101;57384;101485;53604;69437;123041;12831;17687;30518;12395;16981;29376;2640;3636;6276;6270;8651;14921;25102;32465;57567;7655;11157;18812;34306;44622;78928;71568;96854;168422;17218;22059;39277;4387;6153;10540;20900;29203;50103;11352;15993;27345;13834;17360;31194;11193;15348;26541
31.12.2019;81-Jährige;38801;52351;91152;45809;60999;106808;11484;16068;27552;10718;15125;25843;2423;3460;5883;5621;7968;13589;21913;28900;50813;6795;9954;16749;31163;41311;72474;64378;88750;153128;15117;20114;35231;3850;5381;9231;18080;25690;43770;9530;13984;23514;12181;15926;28107;9247;12920;22167
31.12.2019;82-Jährige;34357;46630;80987;39257;54168;93425;9872;14769;24641;9298;13520;22818;2095;3096;5191;5176;7128;12304;19191;26034;45225;5747;8741;14488;26959;36671;63630;56461;81077;137538;13269;18275;31544;3579;5371;8950;15563;22768;38331;8262;12540;20802;10668;14036;24704;7662;11468;19130
31.12.2019;83-Jährige;30875;43195;74070;34320;49433;83753;8933;13411;22344;8463;12581;21044;1924;2871;4795;4573;6651;11224;17411;23993;41404;5036;8273;13309;23388;33552;56940;50437;74620;125057;12024;17009;29033;3297;5052;8349;13968;21524;35492;7271;11687;18958;9287;12736;22023;6895;10647;17542
31.12.2019;84-Jährige;27145;39136;66281;29543;44809;74352;7970;12196;20166;7471;11574;19045;1580;2576;4156;3933;6199;10132;14777;21898;36675;4563;7499;12062;20482;30629;51111;44483;68277;112760;10455;15441;25896;2759;4253;7012;12957;19855;32812;6353;10846;17199;7906;11584;19490;5929;9801;15730
31.12.2019;85-Jährige;22171;33405;55576;24741;38849;63590;6755;10737;17492;6141;9930;16071;1339;2243;3582;3062;5143;8205;12465;18964;31429;3799;6567;10366;16765;26321;43086;37646;60081;97727;8712;13289;22001;2124;3490;5614;10528;17506;28034;5279;9418;14697;6515;9702;16217;5015;8438;13453
31.12.2019;86-Jährige;16591;25998;42589;18508;30346;48854;4242;7231;11473;4131;7080;11211;923;1604;2527;2184;3717;5901;8908;14074;22982;2650;4909;7559;11520;19368;30888;26072;44023;70095;6242;10136;16378;1703;2785;4488;7275;12694;19969;3587;6912;10499;4145;6840;10985;3481;6025;9506
31.12.2019;87-Jährige;14138;23679;37817;15844;28030;43874;3535;6256;9791;3599;6439;10038;739;1475;2214;1827;3304;5131;7596;12790;20386;2356;4499;6855;9901;17772;27673;22765;40260;63025;5379;9164;14543;1459;2647;4106;6062;11291;17353;3152;6128;9280;3470;6041;9511;2920;5603;8523
31.12.2019;88-Jährige;12425;21536;33961;13621;25095;38716;3183;5726;8909;3070;5790;8860;676;1324;2000;1608;3181;4789;6589;11849;18438;1946;3902;5848;8780;16599;25379;19672;37270;56942;4608;8610;13218;1262;2419;3681;5409;10715;16124;2637;5649;8286;3039;5777;8816;2474;4965;7439
31.12.2019;89-Jährige;10745;19993;30738;11787;23080;34867;2739;5511;8250;2642;5375;8017;566;1283;1849;1416;2945;4361;5888;11406;17294;1549;3500;5049;7673;15667;23340;17573;35297;52870;4042;8107;12149;1060;2062;3122;4798;10376;15174;2237;5254;7491;2629;5166;7795;2062;4809;6871
31.12.2019;90 Jahre und mehr;30332;75150;105482;34058;86161;120219;7998;22093;30091;6434;18589;25023;1879;5170;7049;4697;12455;17152;17578;44248;61826;3755;11832;15587;21721;59198;80919;48195;130956;179151;11871;30891;42762;2870;7832;10702;12815;38780;51595;5591;18502;24093;7879;20937;28816;5545;17035;22580
31.12.2019;Insgesamt;5516440;5583954;11100394;6507691;6617046;13124737;1804273;1865218;3669491;1243931;1277962;2521893;337001;344201;681202;903974;943279;1847253;3105260;3182820;6288080;792612;815526;1608138;3947571;4046037;7993608;8805974;9141247;17947221;2023004;2070899;4093903;484419;502468;986887;2006722;2065249;4071971;1079862;1114920;2194782;1422883;1480890;2903773;1055996;1077382;2133378
__________
"Berlin: bis 1990 nur Berlin-West
Neue Länder ab 1991

Ab 2011: Ergebnisse auf Grundlage des Zensus 2011."
© Statistisches Bundesamt (Destatis), 2021
Stand: 08.02.2021 / 11:50:52
